bn_phrases
"হাজী মফিজুর রহমান জামের মসজিদ পাঠাগার, "
"পঞ্চমীতলা গরুর হাট মান্দা নওগাঁ, "
"ফ্রেন্ডশিপ টেলিকম, "
"কমলাপুর রেলওয়ে হাসপাতাল, "
"পূরব রসলপর মূল সড়ক, "
"তেলিগাতি, "
"আন্দার চর, "
"গাজিপুর কুতুবপুর, "
"ইকরা ডেন্টাল কেয়ার, "
"দাউদ কাকার পুকুর, "
"মা ফিলিং স্টেশন, "
"দপদপিয়া, "
"ইবিএল৩৬৫, "
"দারুল উলুম ছাতা মসজিদ মাদ্রাসা, "
"বাংলাদেশ কৃষি ব্যাংক, "
"শিলাস্তম্ভ, "
"সীমাখালী বাজার কেন্দ্রীয় জামে মসজিদ, "
"জেলেবাড়ির পুল, "
"কামারপাড়া সরকারি প্রাথমিক বিদ্যালয়, "
"ডাকবাংলা, "
রংপুর-ফুলবাড়ী রোড
"জান্নাতুল ফেরদাউস জামে মসজিদ, "
"পাথরডুবি, "
"শ্রী শ্রী রামকৃষ্ণ-সারদা সেবাশ্রম​ আনোয়ারা, "
"সরকারি প্রাথমিক বিদ্যালয়, "
"ঋষিধাম ধ্যান মন্দির, "
"বর্ধিত পল্লবী, "
"নাঈম মঞ্জিল, "
"লালমনিরহাট রেলওয়ে স্টেশন, "
"হোটেল লেক ক্যাসেল, "
মরগী হাট রোড
"জনাব মোতাহার হোসেনের বাসভবন, "
"কলাকোপা, "
"যীবা মেডিকো, "
"খুলনা জংশন, "
"অনার্স ভবন - ২, "
"হ্যানিম্যান হোমিও হল, "
"সড়ক ৭এ, "
"নগদা শিমলা, "
"নওদোনা, "
"নলঘরিয়া, "
"মেসার্স নদীয়া বস্ত্র বিতান, "
"ধুলিভিটা, "
"মুসলিমবাগ সড়ক নং ৬, "
"কেয়ার মেডিকেল কলেজ, "
"জিয়া সরণি সড়ক, "
"বিহারি ক্যাম্প, "
"শাহজাহানপুর রেলওয়ে খেলার মাঠ, "
"ধুলাউড়ি জামে মসজিদ, "
"সজিব ফার্নিচার দোকান, "
"দারুল উলুম করাইল মসজিদ, "
"আবদর রব সেরনিয়াবাত সেত, "
"পাঙ্গার চৌপতি, "
"বাউনিয়া থেকে জসিমউদ্দিন সড়ক, "
"মাহিলারা ইউনিয়ন, "
"আশরাফাবাদ সড়ক, "
"বায়তুশ শরফ জামে মসজিদ, "
"মগবাজার, "
"দিগরাজ, "
"টিপ সলতান সড়ক, "
"মল্লিক বাড়ি জামে মসজিদ, "
"মেরি স্টপস গলি, "
"বৈশাখী রেস্তোরাঁ এন্ড বিরিয়ানি হাউস, "
"গলাচিপা উপজেলা, "
"মোস্তফা বস্ত্রালয়, "
"পশ্চিম হাজি পাড়া, "
"সাউথইস্ট ব্যাংক লিমিটেডের, "
"মাজার সড়ক, "
"কাজী বাড়ী দক্ষিণ পাশের গলি, "
"ডুবি, "
"পতেঙগা সড়ক, "
"মোমেনশাহী ফিলিং স্টেশন, "
"বেগম বাজার রোড, "
"নোয়াদ্দা, "
"ষ্টীল মিল বাজার, "
"মনপুর, "
"মিরপুর উদয়ন স্কুল এন্ড কলেজ, "
"সড়ক ১৪ সেকটর ১, "
"বড়খাতা হাইওয়ে পুলিশ, "
"নাজিরপুর, "
"ধনবাড়ী কলেজ, "
বুড়ী তিস্তা বেইলি ব্রিজ
"চনদন - বাইশা সড়ক, "
"সড়ক ৯ বলক ১, "
"স্টারলাইন মিষ্টি, "
"আমুলিয়া, "
"বাংলাদেশ ফায়ার সার্ভিস এন্ড সিভিল ডিফেন্স, "
"রত্ন প্রবাল, "
"বাংলা বাজার সড়ক, "
"আটঘরিয়া, "
"পূর্ব ওমরপুর মসজিদ, "
"রহমতবাগ, "
"টিসসি মোড়, "
"মাহতাব টাওয়ার, "
"ঝাকুয়া পাড়া, "
"মঠবাড়িয়া বাস স্ট্যান্ড, "
"কোলা, "
"শ্রীনিবাসকাঠি উত্তরপাড়া মোড়, "
"আল্ আকছা জামে মসজিদ ভাওয়াভিটি পর্বপাড়া, "
"বাস স্টপ, "
"সাতারকুল, "
"সেক্টর ১৮, "
"দিঘলিয়া উপজেলা, "
"বিজয় বাংলা, "
"জাজিরা, "
"যশোর জেলা, "
"হাশিমপুর, "
"মানিকগঞজ জেলা, "
"মাদারাসার বাড়ি, "
"সলিমুল্লাহ রোড, "
"ব্যাংক এশিয়ার, "
"সুন্দরবন, "
"বসুন্ধরা আবাসিক এলাকা, "
"উততর মোমিনবাগ সড়ক, "
"রামচন্দ্রপুর মধ্যপাড়া জামে মসজিদ।, "
"জাননাতবাগ গলি, "
"ঈশা খাঁ এভিনিউ, "
"চৌধুরী বাজাড় জামে মসজিদ, "
"মঠবাড়ীয়া, "
"ম আজিজ সড়ক, ম  আজিজ সড়ক"
"সুন্দরগঞ্জ, "
"মুসা ড্রাই ক্লিনার্স, "
"উত্তর শ্রীরামদী, "
"ডালুয়া হাট, "
"দক্ষিণ শাহজাহানপুর, "
"পাথরঘাটা উপজেলা, "
"ভুইয়াপাড়া ব্যাংকপাড়া, "
"নবী ডিপার্টমেন্ট স্টোর, "
তেরখাদা বারাসাত টু কোলা বাজার রোড
"চর কুশাই, "
"ইসলামী ব্যাংক হাসপাতাল, "
"নিজামবাগ, "
"বাংলাদেশ ডেভেলপমেন্ট ব্যাংক, "
"চট্টগ্রাম, "
"কমলাপুর সড়ক, "
"পরিচয় স্টোর, "
"মগবাজার-মৌচাক ফলাইওভার, "
"ফৌজদারহাট, "
"আই বলক সড়ক ৮, "
"কাঞ্চিপাড়া, "
পাটগ্রাম বাইপাস সড়ক
"আটকড়া, "
"মগড়া, "
হাজী মোহামমদ দিদার সওদাগর বাড়ী সড়ক
কলাগাছিয়া বাজার বরিজ
"কাপাসিয়া - মনোহরদী সড়ক, "
"মহামায়া, "
"রাজউক উত্তরা অ্যাপার্টমেন্ট প্রজেক্ট, "
"বীরশ্রেষ্ঠ মুন্সি আব্দুর রউফ ফটক সাভার সেনানিবাস, "
"নেত্রকোনা, "
"বরিশাল কলেজ, "
"বানারীপাড়া উপজেলা, "
"মাতুয়াইল নিউটাউন, "
"সড়ক ৪৬, "
সাতকষীরা বিশবরোড
"মিরপুর শাপলা স্কুল, "
"রোড নমবর ৪ পিসিকালচার হাউজিং সোসাইটি, "
"পরশুরাম রেলওয়ে স্টেশন, "
"আবুল খাইরাত সড়ক, "
"ধামইরহাট, "
"পরিবেশ অধিদপ্তর, "
"মহিমাগঞ্জ, "
"ঢাকা কলেজ টেনিস মাঠ, "
"তেলিবিল উচ্চ বিদ্যালয়, "
"নন্দকুমার দত্ত সড়ক, "
"বরিশাইল্যা গলি, "
"যোগীপোল, "
"বারৈয়ারা, "
"সালনা, "
"উজিরপুর পোস্ট অফিস, "
"ফাতরার চর, "
"চাঁদপুর পুরাতন লঞ্চ ঘাট, "
"সোস্যাল ইসলামী ব্যাংক লিমিটেড এটিএম, "
"স্বরুপকাঠী পৌরসভা কার্যালয়, "
"ডাক্তার জোহরা বেগম কাজী মহিলা হোস্টেল, "
"মসজিদে ফাতেমা মুঃ আল খুবাইলী, "
"খিলপাড়া, "
"ঢাকা প্রতিদিন, "
"আরা ফ্যাশান, "
"শাহজাহানপর সড়ক, "
"চুড়াইন, "
"কমিউনিটি সেন্টার, "
"মিউচুয়াল ট্রাস্ট ব্যাংক লিমিটেড, "
পুরাতন সোনাকান্দা
"চনারঘাট উপজেলা, "
"আল আরাফা ইসলামি ব্যাংক, "
"বাগমারা, "
"স্বরুপকাঠী কেন্দ্রীয় মন্দির, "
"সড়ক ৫০, "
"পাটুরিয়া, "
"তেরখাদা, "
"মরিয়ম ভবন, "
"সলঙ্গা বাজার, "
"কদমতলা বাজার - মণ্ডলের বাজার সড়ক, "
"জামে মসজিদ শাহবাজপুর, "
"গোসাইলডাঙ্গা, "
"তজমদদিন উপজেলা, "
"মাদবর বাজার সড়ক, "
"দোহার, "
"সাদাকালো মিষ্টি, "
"সৎপুর, "
"সুইলপুর, "
"দক্ষিণ বেদকাশী, "
"ফনিকস রোড, "
"হাজী মোজাম্মেল হক সরকারি প্রাথমিক বিদ্যালয়, "
"কাচা সড়ক আলেকানদা, "
"তিস্তা ব্যারেজ, "
"পুরাতন হাসপাতাল মসজিদ, "
"সিকির চর, "
"গোবিন্দশ্রী সবজি বাজার, "
"নান্দাইল চৌরাস্তা, "
"জেসিকা বিউটি পার্লার, "
"গোলাপবাগ, "
"অবধূত আশ্রম, "
"হাদিরা, "
"আড়ং, "
ডেইরি গেইট টু শহীদ মিনার
"ইতালি হেলথকেয়ার, "
"নতন বাজার সড়ক, "
"তারা মাঠ, "
"সৈয়দ নজরল ইসলাম সরণী, "
"ডিওএইচএস বাইপাস সড়ক, "
"কামরাবাদ, "
"সায়েন্সল্যাব বাস স্টপ, "
"মিশন পারা, "
"অগ্রণী এসএমই ফাইন্যান্সিং কোম্পানী লিঃ গফরগাঁও শাখা ময়মনসিংহ, "
"ঊচাখিলা বাজার, "
"সামস মিয়া বাড়ির গলি, "
"দক্ষিণভাগ, "
"সুতারপাড়া, "
"মাদ্রাসাপাড়া গলি, "
"নিউ বুলবুল ইন্টারন্যাশনাল, "
"ঢাকা - কষটিয়া মহাসড়ক, "
"দ্বীপ্ত কফি হাউজ এন্ড ফাস্টফুড, "
"সাগর পাড় জামে মসজিদ, "
"সড়ক নং-৫, "
"মনতলা, "
"ভূমি অফিস, "
"হরিয়ান, "
"শিমুলতলা, "
"পাপ্পু গিফট কর্নার, "
"সামরিক কবরস্থান, "
"দক্ষিন আড়পাড়া জামে মসজিদ, "
কারিগরি স্কুল রোড
তীরথবাসীর রোড
"বাগানবাড়ি, "
"বিয়ানীবাজার, "
তেরখাদা ট সাচিয়াদাহ গোপালগঞজ রোড
"এমজেএল বাংলাদেশ লিমিটেড, "
"তাড়াস, "
"মোল্লার চর, "
"রাজার মাঠ, "
"জনতা ব্যাংক লি মহিলা শাখা, "
"গোবরচাকা, "
"ফুলগাজী রেলওয়ে স্টেশন, "
"নতুন বাজার সবজি বাজার, "
কাপতাই সকলের পরবেশ পথ।
কাশিমপুর মধ্যপারা এবং উত্তরপারা রোড
মধুমতি সেতু সংযোগ সড়ক
"সড়ক ৩ সেকটর ১, "
মাসকানদা হাইসকল রোড
"গোকুল, "
"কলযাণপর পরধান সড়ক, "
"শাহজালাল বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, "
"কমিউনিটি ক্লিনিক, "
"রালদিয়া, "
বিলশা ব্রিজ
চাক্তাই সড়ক
"সড়ক ৩০, "
"কালাই, "
"বিষরা, "
"কৃষি প্রশিক্ষণ ইন্সটিটিউট এটিআই ঢাকা, "
"মুহুরীগঞ্জ, "
"সেতু উত্তর বন্দর, "
"কমলাপুর রেলওয়ে স্টেশন, "
"শহীদ আব্দুল আজিজ সড়ক, "
"করাইল মজিদ ও শিক্ষা প্রকল্প, "
ডাল সড়ক
"পশচিম রসলপর টযানারি পকর পারক, "
"বাশবাড়িয়া, "
"জিমখানা আলাউদ্দিন খান স্টেডিয়াম, "
"কয়েতি মসজিদ সড়ক, "
"এন আর বি কমার্শিয়াল ব্যাংক লিমিটেড, "
"বাউফল - নুরাইনপুর সড়ক, "
"গরদাসপর উপজেলা, "
"দামসত্তর, "
"সড়ক ২৩, "
"৩ নং কাউখালী ইউনিয়ন পরিষদ, "
"আল আমিন ডেন্টাল কলেজ ও জেনারেল হাসপাতালে, "
"আনন্দ মার্কেট, "
ফরেষটর দোকান রোড হাইডচাকিয়া
"স্মৃতিসৌধ, "
"অতিশ দীপঙকর রোড, "
"সড়ক ১৮ ব্লক জে, "
"মিরগঞ্জ রেশম বোর্ড, "
"শহীদ চান্দু স্টেডিয়াম, "
"শহীদ বাকি সড়ক, "
"নবী নগর জামে মসজিদ, "
"মান্দারতলি, "
"চট্টগ্রাম সমিতি, "
দেলোয়ার খাঁ সড়ক
"কল্যাণপুর, "
"বাহবল উপজেলা, "
"চান্দুরিয়া, "
"বাটাজোর কেন্দ্রীয় জামে মসজিদ, "
"শুকতাইল, "
"উত্তর হাওলা প্রাথমিক বিদ্যালয়, "
"গিলাতলা, "
"পুরাতন বাজার মন্দির, "
"বদরগঞ্জ, "
"হরিরামপর উপজেলা, "
"শর্শদী রেল ষ্টেশন, "
"চৌগাছা উপজেলা, "
"স্বাধীনতা সরণী, "
"রোড ৩ পিসিকালচার হাউজিং সোসাইটি, "
"শাঁখারিবাজার, "
"ধামরাই, "
"বনওয়ারী নগর আলিয়া মাদ্রাসা, "
"পাটগ্রাম রেলওয়ে স্টেশন, "
"শিমুলতলা মাঠ, "
"প্রিমিয়ার ব্যাংক লিমিটেড, "
"কামাল্লা পশ্চিমপাড়া ঈদগা মাঠ, "
"কাকিনা, "
"হ্যাপী টার্টল ইটারী, "
"খাগড়াছড়ি, "
"পুরা ঘাটা ফেরী ঘাট, "
"রাষ্ট্রপতি সড়ক, "
"শ্রীকালিয়া, "
"শাহ্‌জাদপুর ফিলিং ষ্টেশন, "
"মল্লিকপুর বাজার, "
"সবুজবাগ ফেরীঘাট, "
"ধানুয়া, "
"দামালকোট, "
"খিলগাও গার্লস স্কুল এন্ড কলেজ, "
"নেত্রকোনা কোর্ট, "
"সুমন মিয়া বাড়ির গলি, "
"পঞ্চায়েত বাড়ি সড়ক, "
"সুভলং পাহাড়, "
"ডাকবাংলো বাজার, "
"হামিদ বিল্ডিং, "
চাকতাই সড়ক সেত
"ব্লক এফ সড়ক ২১, "
"সোস্যাল ইসলামী ব্যাংক, "
"সরাইগাছি, "
"এক্সিম ব্যাংক এটিএম, "
"মারিনো গেস্ট হাউস, "
মাসকান্দা হাইস্কুল রোড
"আই ব্লক সড়ক ৭, "
"রাণীশংকৈল, "
"বলক ফ সড়ক ২২, "
"আল ফালাহ ব্যাংক শাখা, "
"বাবুপাড়া মসজিদ, "
"সিংজানী জামে মসজিদ, "
"বোদা মুক্তিযোদ্ধা হোটেল, "
"ওয়াপদা মসজিদ, "
হাজী আনোয়ার আলী সওদাগর বাড়ী কবস্থান রোড
"চাপতা, "
"কলোনী লেন-০১, "
"লিলি ফিলিং স্টেশন রুপাতলি, "
"নাঈম ফিলিং স্টেশন, "
"এ আর হামজা সড়ক, "
"শায়েস্তাগঞ্জ, "
"হযরত বাবা আদম রহঃ মাজার শরীফ, "
"বাংলাদেশ শিপিং কর্পরেশন, "
"নয়া পল্টন সড়ক, "
"জনতা মেডিকেল হল, "
"জয়নব আলী মাস্টার বাড়ি, "
"পাচ পীরের মাজার, "
"বড়পাড়া, "
পোস্তা রোড
"খোলামোড়া সড়ক, "
"ফটিক খিরা, "
"দনিয়া পোসট অফিস রোড, "
"অনামিকা গার্মেন্টস, "
"বেড়িবাধ গলি, "
"বালিয়াডাঙ্গী, "
"ডাচ বাংলা ব্যাংক এটিএম বুথ, "
"প্রতাপপুর, "
"কলতাপাড়া বাজার, "
"ত্রিমোহনী জংশন, "
"সোনাদিয়া দ্বীপ, "
"সুরুজবাগ মসজিদ গলি, "
"ঘাগরা, "
"তেজগাঁও রেল ষ্টেশন, "
"হুজুরপাড়া ১ নং গলি, "
"কাউন্দিয়া, "
"মুজিবনগর, "
অরজনা পূরব পাড়া রাসতা
"পূর্ত ভবন মসজিদ, "
"স্টার কাবাব এন্ড রেস্টুরেন্ট, "
"বেকুটিয়া ফেরিঘাট রোড, "
"উত্তর উদ্দামদী, "
"নরসিংহপুর, "
"দাশুরিয়া, "
"সাঁথিয়া, "
"সোনাতনী, "
"মাদ্রাসা সড়ক নং ২, "
"শালবাহান, "
"শহীদ সামসুজ্জোহা মুসলিম ছাত্রাবাস সিরাজগঞ্জ সরকারি কলেজ, "
"ঢাকা বিমানবন্দর রেলওয়ে স্টেশন, "
"পূরব রসলপর ৪নং সড়ক, "
প্রামানিক বাড়ী রোড
"দেওয়ান বাজার, "
"ঈশ্বরদী বাইপাস, "
রজনি গনধা গলি
"সৃষ্টিগড় বাজার জামে মসজিদ।, "
"সকাল সন্ধা শপিং মল, "
"মিপতাহুলঊলুম মাদ্রাসা ও মসজিদ, "
"খগাখড়িবাড়ী ইউনিয়ন, "
"সংবাদপুর বাজার মান্নানঘাঁট, "
"সাটরিয়া উপজেলা, "
"নিলখী, "
"হিজলা উপজেলা, "
বটতলা রোড
"মুক্তিযোদ্ধা মার্কেট, "
"ভিতরবন্দ, "
"মতিঝিল যাত্রী ছাউনি ঢাকা দক্ষিণ সিটি করপোরেশন, "
"ঢাল চর, "
"শ্রী শ্রী নিগমানন্দ সারস্বত আশ্রম, "
"শ্যামলী ফুটওভার ব্রিজ, "
"লালমন হোটেল, "
"মেসার্স শোভা হার্ডওয়ার এন্ড সেনেটারী, "
"ন্যাশনাল হোমিও ফার্মেসি, "
"মদীনাবাগ, "
"খেজুরতলা বাজার, "
"পাতানিশ, "
"আমানত ফার্মেসি, "
"ঝুলন মন্দির, "
"অভিরুচি সিনেমা হল, "
"পান্থশালা ধর্মাঙ্কুর বৌদ্ধ বিহার, "
"নিউ মিতালী ফার্মেসী, "
"রাঙগামাটি-বানদরবান সড়ক, "
"বীর উত্তম জিয়াউর রহমান সড়ক, "
"মাসুদ চা স্টোর, "
"কাশিপুর বাজার, "
"রসমেলা সুইট মিট, "
"জামালখান, "
"মনির চেয়ারমযান গলি, "
বিএনপি বাজার আগারগাঁও পানির ট্যাংকি রোড
"ধলেশবরী সেত ১, "
"নয়াবাজার, "
"সড়ক ৩২, "
"বীর উততম জিয়াউর রহমান সড়ক, "
"নতুন শান্তি কলোনি মসজিদ, "
"বুড়িমারি, "
"চট্টগ্রাম বন্দর ভবন, "
"কটিয়াদি পশু হাসপাতাল, "
"বাহারছড়া, "
"ট্রাস্ট ফিলিং ষ্টেশন, "
"রূপসদী উওর পারা শহীদ মিনার, "
"শেরেবাংলা কৃষি বিশ্ববিদ্যালয়, "
"নয়া নগর, "
"কাওরান বাজার, "
"মাসটার বাড়ী গলি, "
"ঢাকা-বরিশাল মহাসড়ক, "
"আকানিয়া নাসিরপুর, "
"ফুলতলা, "
"পূর্বাচল ইকো পার্ক, "
"বাবলু ভাইয়ের ভাতের হোটেল, "
"চর মছুয়া, "
"আলিফ টেলিকম, "
"বজরা, "
"চাষা - ভুষার টং, "
"মেসার্স সি এন্ড বি ফিলিং স্টেশন, "
"আদিবা ডেন্টাল কেয়ার, "
"গান্ডতা ব্রিজ, "
"দেওয়ানবাড়ী জামে মসজিদ, "
"ধজী মোহাম্মাদিয়া হাফেজিয়া মাদ্রাসা, "
শযামনগর-নওয়াবেকী রোড
"চনদরিমা উদযান জিয়া উদযান সড়ক, "
"তাড়াশ বাজার, "
"খাজা ডিপার্টমেন্টাল স্টোর, "
"হাতিয়া, "
"বসিলা, "
"সড়ক ৯/, "
"হজরপাড়া মসজিদ গলি, "
"পদ্ম শিশু-বান্ধব শিক্ষা কেন্দ্র, "
বেকটিয়া বরিজ রোড
"রাঙ্কিন স্ট্রিট, "
"নিউ ক্যাফে ঢাকা হোটেল এন্ড রেষ্টুরেন্ট, "
"পদ্মবিলা জংশন, "
"নগর ভবন, "
"হজরপাড়া ১ নং গলি, "
"ঝিনাইগাতী, "
"মুনসবদি, "
"চর লতরদি, "
"বেনাপোল, "
"জুরাইন রেল গেট বাস স্টপ, "
"এমটিবি ব্যাংক এটিএম, "
"নিজ মেহের, "
"কোনাপাড়া, "
"চান্দ্রা, "
"নীলকমল আবাসিক এলাকা, "
মরহুম হেলাল মেম্বার বাড়ী রোড আমানবাজার
"হালিশহর, "
"সুজাবাদ, "
"দারোগাবাড়ী জামে মসজিদ, "
"রোড ১০, "
"ভাটারা, "
"বঙ্গবন্ধু সাফারি পার্ক কক্সবাজার, "
"মনোহরগঞ্জ ফায়ার স্টেশন ফায়ার সার্ভিস ও সিভিল ডিফেন্স, "
"রৌমারী, "
"নরহরিপুর ফাজিল ডিগ্রি মাদ্রাসা, "
"কাঠপট্টি জামে মসজিদ, "
"বুধণ্ডা, "
"বাংলাদেশ ব্যাংক ১ম বর্ধন ভবন, "
"শাপলাপুর, "
সইস গেট রোড
"বালিপাড়া, "
"শঠিবাড়ি কেন্দ্রিয় শসান মন্দির, "
"বাসা-বাড়ি মার্কেট, "
"গুনাইহাটি বাজার, "
"মুসলিমবাগ সড়ক নং ৩, "
"হুযায়ফা এস্টোর, "
"ইবিএল, "
"কূলনছড়া ঝর্না, "
"ডিবুয়াপুর হাই স্কুল, "
"সরই, "
"বরমী হ‌ো‌ট‌েল, "
"লকষমীপর - রামগঞজ - হাজীগঞজ সড়ক, "
"চাক বস্তা, "
"আইএফআইসি ব্যাংক, "
"অভি ফার্মা, "
"২ নং গলি, "
"মামুদনগর, "
"ভাওয়াল, "
"টুবগী, "
"দৌলতপুর-সুয়াগাজী রোড, "
"পীরগাছা, "
"গ্যালেংগ্যা, "
"কক্সবাজার বিমানবন্দর, "
"মোগলহাট, "
"সরকারি হরচন্দ্র বালিকা উচ্চ বিদ্যালয়, "
"লিটন টি স্টল, "
"সোহেল কম্পিউটার কে.বি.বাজার, "
"ভাষানী পাড়া বুদ্ধি প্রতিবন্ধী বিদ্যালয়, "
"দেবপুর, "
"শহীদ হিটল সড়ক, "
শেখপুরা টু শিয়ালী রোড
"কলাখালী ইউনিয়ন, "
"কৃষ্ণপুর জামে মসজিদ, "
"লিংক রোড বাস স্টেশন, "
"মাছ / সবজি বাজার, "
"কবি ফারুক সরণি, "
"কৈটোবা, "
"সিদ্দিক বাজার, "
"কামলা চর, "
"মেসার্স নরসিংদী বস্ত্রালয় এন্ড ভূইয়া ট্টেডার্স, "
"নদ্দাপাড়া, "
"বটতলি রেলওয়ে স্টেশন, "
"যোগীর ভবন, "
"ইজাব জামে মসজিদ, "
"রতনে’র বাড়ি, "
পাসপোরট সড়ক
"দীপের শহর, "
"শারমিন ফিলিং স্টেশন, "
"ঢাকা-চট্টগ্রাম মহাসড়ক, "
"৬ষঠ লেন, "
"বিতারা দূর্গাপুর, "
"মুদাফরগঞ্জ, "
"মিরপুর-১০ গোলচক্কর, "
"উদয়পুর, "
"পূর্ব সোনারচর আদর্শ পাড়া জামে মসজিদ, "
"শিবগঞ্জ ডিগ্রী কলেজ, "
"শহীদ বদধিজীবি সেত, "
"চক্রশালা, "
"সড়ক ২৬, "
"রায়পুর, "
"লক্ষ্মীপুর-রায়পুর সড়ক, "
"পাহাড়তলী চৌমুহনী জামে মসজিদ, "
"হুমায়ুন, "
"সরাই, "
"সিলেট বিভাগ, "
"কলার হাট, "
"তেহারি অন হুইল, "
"নতুন জুরাইন, "
গজারিয়া সড়ক
"আড়িয়াল বাজার-কুরমিরা-দামপাড়া সড়ক, "
"বেলকুচি, "
"শ্যামলী সিনেমা হল, "
"চাঁদপুর, "
"মুনলাইট ইলেট্রিশিয়ান এন্ড লাইটিং, "
"ফেনী জেলা, "
"হাসানপুর, "
"নগর কাসবা, "
"জলহস্তীর খাঁচা, "
"নাড্ডা পাড়া কেন্দ্রীয় মসজিদ সড়ক, "
"ঋষিপাড়া, "
"পশচিম ছাতনাই ইউনিয়ন, "
"বায়োমেডিক্যাল ফিজিক্স অ্যান্ড টেকনোলজি ডিপার্টমেন্ট, "
"সড়ক ১৩, "
য়াদবপর রোড
"শাহজালাল ইসলামী ব্যাংক, "
"এডভোকেট মোঃ আব্দুল গাফ্ফার, "
"রাজা বাজার- ইন্দিরা রোড, "
"তাল তলা বাজার, "
"সিটি এটিএম, "
"সাতবাড়ি, "
তেরখাদা ট কালিয়া রোড
"শশী মেডিসিন কর্নার, "
"ওসমান মিয়ার বাড়ীর গলি, "
"হাজী বিরিয়ানী হাউস, "
"আলম ফিলিং স্টেশন, "
"পাশা টেলিকম, "
"গণেশপুর বাস স্ট্যান্ড মসজিদ, "
"সোনালী ব্যাংক ঈশ্বরদী শাখা, "
"আনজুমান রেসিডেনশিয়াল মডেল স্কুল, "
"আনসার বাড়ীয়া, "
"বঙ্গবন্ধু উদ্যান, "
"বন্দর টিলা বাজার, "
"সৈয়দপুর ফকিরবাড়ি, "
ভবানীপর-লতিফপর রোড
"একশ টং গলি, "
"মিরপুর ৭, "
"কিসমত রেল ষ্টেশন, "
"হাজিপাড়া, "
"কাদিমসাতুরিয়া জামে মসজিদ, "
"মদন সবজি বাজার, "
"আল শরীফ ইন্টারন্যাশনাল স্কুল, "
"মুসলিমবাগ সড়ক নং ৫, "
"কোটরাবন্দ, "
"পূর্ব আমরাজুড়ী মাধ্যমিক বিদ্যালয়, "
"নূরুল্লাপুর, "
"সিদ্ধেশ্বরী সড়ক, "
"বাগেরহাট-খলনা মহাসড়ক, "
"সড়ক ১, "
"পাগলীডাঙ্গী, "
"ফরিদপর - রাজবাড়ী মহাসড়ক, "
"জেলেখালী সার্বজনীন মন্দির, "
"এইচএসবিসি ব্যাংক, "
"এম আলী হোটেল, "
"উজান-ভাটি, "
"পলাশী সড়ক, "
"তর জিরান্তি, "
"খলনা বিভাগ, "
"খোশাল উকিল জামে মসজিদ, "
"পশ্চিম পান্থপথ, "
"নতন সেত, "
"শীবপুর বাজার জামে মসজিদ।, "
"কেশরাঙ্গা, "
"মৃধা বাড়ি জামে মসজিদ, "
"ব্লক এফ সড়ক ২২, "
"মাজেদ সর্দার সড়ক, "
"আড়ফাঙগাশিয়া কাজী বাড়ী রোড, "
"গোল-ই-আফরোজ সরকারি কলেজ, "
"তালহা গিফট কর্নার, "
"শ্রীহাস্য, "
কদমতলা রোড
"দারুল হাবিব খানকা শরীফ দপদপিয়া, "
"পেটুক রেস্তরা, "
"উজ্জ্বল ভাইয়ের হোটেল, "
"পাঁচলাইশ, "
"সিংগাইর উপজেলা, "
"পূর্ব জুরাইন, "
"একাত্তরের শহীদ স্বরণে, "
"গোসাই মন্দির, "
"চারাবাটি, "
"ঢাকা রেসিডেনশিয়াল মডেল কলেজ মসজিদ, "
"রূপালী ব্যাংক মতিঝিল কর্পোরেশন শাখা, "
"পারুয়া ডিপার্টমেন্টাল ষ্টোর, "
"আদাবর বাস স্টপ, "
"দিননাথ সেন সড়ক, "
হাড়ীখালী মন্ডলগাতী গাজীপুর নেবুদিয়া রোড
"নাতুড়িয়া পশ্চিমপাড়া জামে মসজিদ, "
থানা রোড
"সংযোগ সড়ক, "
"ডেমরা - নারায়ণগঞজ সড়ক, "
"ইস্টার্ন ব্যাংক লিমিটেড এবিএল এটিএম, "
"গোয়ালন্দ, "
"ঢাকা সিটি কলেজ, "
"বগুড়া পশ্চিম বাইপাস, "
"১নং মোকামতলা ইউ‌নিয়ন প‌রিষদ জা‌মে মস‌জিদ, "
"বাউনিয়া সড়ক, "
"প্রাইম ব্যাংক, "
"মীরবাগ, "
"নারায়ণগঞ্জ পল্লী বিদ্যুৎ সমিতি-১, "
"বদরপুর বাজার, "
"পাঁচরুখি, "
"তারাকান্দা, "
"বায়তুল ফালাহ জামে মসজিদ, "
"ব্রাহ্মনীছোঁয়া, "
"আবুল খাইরাত রোড, "
"ডে-নাইট মেডিকেল হল, "
"বাসাবো ফুট ওভার ব্রিজ, "
"বেজোড়া বাজার, "
"দক্ষিণ গোবিন্দপুর, "
"ইউসিবি এটিএম, "
পিরোজপুর ঝালকাঠী বরিশাল রোড
"খন্দকার ভিলা, "
"জাহাঙ্গীর সুপার মার্কেট, "
"সড়ক ২৩/, "
"মহসিন মেডিকেল হল, "
"নাথের পেটুয়া, "
"পূর্ব আলী নগর ৫ নং গলি, "
"রবীন্দ্র সরণী, "
"পাওয়ার হাউজ মসজিদ, "
"কাওরান বাজার মাছ আড়ত, "
"ড্রিম বিউটি পার্লার এন্ড ট্রেইনিং সেন্টার, "
"চাঁদপুর লঞ্চ ঘাট, "
"দামুড়হুদা, "
