,bn_phrases,en_translated,Unnamed: 0
10654,"কাশিম নাদিরা সপট গলি, ","Kashim Nadira Subspon,",392.0
10655,কাশিমপর মধযপারা বং উততরপারা রোড,Kashimapara Madhapara Bong Utopara Road,393.0
10656,কাশীপর বাজার সড়ক,Kashipur Bazar Road,394.0
10657,"কিশোরগঞচ উপজেলা, ","Kishore Ganga Upazila,",395.0
10658,"কিশোরগঞজ জেলা, ","Kishore Ghaz district,",396.0
10659,"কিশোরগঞজ সদর উপজেলা, ","Kishoreghaj Sadar Upazila,",397.0
10660,কিয়াম উদদিন সড়ক,Qiyam Uddin road,398.0
10661,"কীন বরিজ, ","Kin Borge,",399.0
10662,"কুঠিবয়রা - ধুবলিয়া রাস্তা, ","Kuthiboyera - Dhubalia road,",400.0
10663,"কুঠিবয়রা পূর্বপাড়া - বাজার রাস্তা, ","Kuthiboyara Eastpara - Market Road,",401.0
10664,"কুড়িগ্রাম - নাগেশ্বরী - ভুরুঙ্গামারী সড়ক, ","Kurigram - Nageshwari - Bhurungamari Road,",402.0
10665,"কুমিল্লা - চাঁদপুর মহাসড়ক, ","Comilla - Chandpur Highway,",403.0
10666,"কুমুদিনী সরকারী কলেজ টাঙ্গাইল।, ","Kumudini Government College Tangail.,",404.0
10667,"কুষ্টিয়া - চুয়াডাঙ্গা মহাসড়ক, ","Kushtia - Chuadanga highway,",405.0
10668,"কুষ্টিয়া - ঝিনাইদহ মহাসড়ক, ","Kushtia - Jhenaidah highway,",406.0
10669,"কুষ্টিয়া - মেহেরপুর মহাসড়ক, ","Kushtia - Meherpur Highway,",407.0
10670,"কুড়াগাছা - মমিনপুর সড়ক, ","Kuragacha - Mominpur Road,",408.0
10671,"কৃষকরতন শেখ হাসিনা হল, ","Farmer Sheikh Hasina Hall,",409.0
10672,কৃষণচড়া সড়ক,Cant,410.0
10673,"কৃষি প্রশিক্ষণ ইন্সটিটিউট এটিআই ঢাকা, ","Agricultural Training Institute ATI Dhaka,",411.0
10674,"কৃষি ব্যাংক নারায়ণহাট শাখা, ","Agricultural Bank Narayanhat Branch,",412.0
10675,"কৃষি সম্প্রসারণ অধিদপ্তর নীলফামারী, ","Nilphamari, the Department of Agriculture Extension,",413.0
10676,"কে.ম আজম লেন, ","KM Azam Lane,",414.0
10677,"কেনদয়া - মদন সড়ক, ","Candidate - Madan Road,",415.0
10678,"কেনদয়া-ঈশবরগঞজ রোড, ","Kindaya-Eswargang Road,",416.0
10679,কেনদয়া কলেজ রোড,Bandaya College Road,417.0
10680,"কেনদয়া- ঈশবরগঞজ, ","Candidate- Ashwargaya,",418.0
10681,"কেনদয়া-আঠারোবাড়ি-নানদাইল সড়ক, ","Kendua-Atharbari-Nandail Road,",419.0
10682,"কেন্দুয়া - মদন সড়ক, ","Kendua - Madan Road,",420.0
10683,"কেন্দ্রীয় মন্দির চট্রগ্রাম বিশ্ববিদ্যালয়, ","Central Temple Chittagong University,",421.0
10684,"কেবি রদর রোড, ","KB Radar Road,",422.0
10685,"কেরাণীগঞজ উপজেলা, ","Keranigayj Upazila,",423.0
10686,"কেশবপর উপজেলা, ","Keshabar Upazila,",424.0
10687,"কোচিগেনডারি বিদযালয় সড়ক, ","Kochi Gennadary School Road,",425.0
10688,"কোটচাদপর উপজেলা, ","Kotchadar Upazila,",426.0
10689,"কোটচাদপর সেত, ","Kotchadapar Set,",427.0
10690,"কোমপানি ঘাট সেত, ","Company Ghat Bridge,",428.0
10691,"কোমপানি ঘাট সড়ক, ","Company Ghat Road,",429.0
10692,"কোমরপর সেত, ",Waist,430.0
10693,"কোরট হাউজ সটরিট, ","Coret House Sotarit,",431.0
10694,"কোর্ট বিল্ডিং সাবেক, ","The former of the Court Building,",432.0
10695,"ক্যাম্পাস ২ এআইইউবি আমেরিকান ইন্টারন্যাশনাল ইউনিভার্সিটি বাংলাদেশ, ","Campus 2 AIUB American International University Bangladesh,",433.0
10696,"কড়াগাছা - মমিনপর সড়ক, ","Karagacha - Mominapar Road,",434.0
10697,"কড়িলিয়া-মোলকা উপসড়ক, ","Carilia-Molka subsites,",435.0
10698,"কয়রা উপজেলা, ","Cairo Upazila,",436.0
10699,কয়েট রোড,Quit road,437.0
10700,"কয়েতি মসজিদ রোড, ","Quetty Mosque Road,",438.0
10701,"কয়েতি মসজিদ সড়ক, ","Kuwaiti Mosque Road,",439.0
10702,"খগাখড়িবাড়ী ইউনিয়ন, ","Khagakharibari Union,",440.0
10703,"খগার হাট - ফারকের চৌপতি সড়ক, ","Khagar Hat - Fourth Road of Ferk,",441.0
10704,"খগার হাট - ফারুকের চৌপতি সড়ক, ","Khagar Hat - Fourth Road of Farooq,",442.0
10705,"খগারহাট - শটিবাড়ী সড়ক, ","Khagarhat - Shathibari Road,",443.0
10706,"খগারহাট - শুটিবাড়ী সড়ক, ","Khagarhat - Shutbari Road,",444.0
10707,"খয়রাবাদ সেত, ","Khayrabad Set,",445.0
10708,"খরশীদ মহল সেত, ","Dasid Mahal Set,",446.0
10709,"খলনা জেলা, ","Khalna District,",447.0
10710,খলনা দিঘলিয়া রেলিগেট -আড়য়া-গাজীরহাট- তেরখাদা সড়ক জেড-৭০৪০,Khalna Dighalia Religate-Aaria-Gazirhat-Terakhada Road Z-1,448.0
10711,"খলনা বিভাগ, ","Classes,",449.0
10712,"খলনা রপসা - শরীফলতলা তেরখাদা জেলা মহাসড়ক জেড 7041, ","Khalna Rapsa - Sharifatla Terakhada District Highway Z 7041,",450.0
10713,খলনা সেনেরবাজার ট মধপর মোকামপর গাজীরহাট রোড,Khalna Senarbazar T honeymoon Gazirhat Road,451.0
10714,"খলনা-তেরখাদা রোড, ","Khalna-Thakhada Road,",452.0
10715,খলনা-যশোর মহাসড়ক,Khalna-Jessore Highway,453.0
10716,"খলিফাঘাট চাদ মসজিদ সড়ক, ","Khaliphaghat Chad Mosque Road,",454.0
10717,খলিলগঞজ রোড,Khalilganj Road,455.0
10718,"খাগড়াছড়ি পারবতয জেলা, ","Khagrachari Parbatya District,",456.0
10719,"খাঞজাপর ইউনিয়ন, ","Khangapur Union,",457.0
10720,"খান বাড়ি জামে মসজিদ উত্তর ডামুড্যা, ","Khan Ghar Jame Mosque North Damuda,",458.0
10721,"খানদারপাড় - শরীনিবাসকাঠী, ","Khandarpar - Sharinivasakathi,",459.0
10722,"খান্দারপাড় - শ্রীনিবাসকাঠী, ","Khandarpara - Srinivasakathi,",460.0
10723,"খালপাড়/কবরসথান সড়ক, ","Khalpar/Cemetery Road,",461.0
10724,"খালিয়াজড়ি উপজেলা, ","Khaliajari Upazila,",462.0
10725,"খালিশা চাপানি ইউনিয়ন, ","Khalisha Tapani Union,",463.0
10726,খালিয়াজরী বাজার রোড,Khaliajari Bazar Road,464.0
10727,"খাসকররা আলমডাঙগা সড়ক, ","Khaskara Alamdanga Road,",465.0
10728,"খাসকররা সরোজগঞজ সড়ক, ","Khaskara Sarojganj Road,",466.0
10729,"খিলগাও ফলাইওভার লপ, ","Khilgaon flyover loop,",467.0
10730,"খিলগাও ফলাইওভার, ","Khilgaon flyover,",468.0
10731,"খিলপাড়া সেত, ","Khilpara Set,",469.0
10732,খিলা-নাঙগলকোট রোড,Khila-Nangalkot Road,470.0
10733,খুলনা দিঘলিয়া রেলিগেট -আড়ুয়া-গাজীরহাট- তেরখাদা সড়ক জেড-৭০৪০,Khulna Dighalia Religate-Aarua-Gazirhat-Terakhada Road Z-1,471.0
10734,"খুলনা রুপসা - শ্রীফলতলা তেরখাদা জেলা মহাসড়ক জেড 7041, ","Khulna Rupsa - Srifalatala Terakhada District Highway Z7041,",472.0
10735,"খুলনা-তেরখাদা রোড জেড 7042, ","Khulna-Tarakhada Road Z7042,",473.0
10736,"খৃষটানপাড়া সড়ক, ","Visitanpara road,",474.0
10737,খেরয়া মসজিদ রোড,Keria Mosque Road,475.0
10738,"খোকন মাসটারের গলি, ","Khokon Master's lane,",476.0
10739,"খোকসা উপজেলা, ","Khoksa Upazila,",477.0
10740,"খোদকোমরপর ইউনিয়ন, ","Obstacle Union,",478.0
10741,"গগবাজার বরিজ, ","Gagbazar Borge,",479.0
10742,"গণ কবরসথান সড়ক, ","Mass Cemetery Roads,",480.0
10743,"গণকটলি লযান, ","Masscutley Lawan,",481.0
10744,"গণতন্ত্র তোরণ ঢাকা বিশ্ববিদ্যালয়, ","Democracy Arcade University of Dhaka,",482.0
10745,"গনি মিয়া মাদরাসা গলি, ","Gani Mia Madrasa alley,",483.0
10746,গপতছড়া সড়ক,Hiding road,484.0
10747,"গফরগাও-হোসেনপর সড়ক, ","Gopargaon-Hoseenpur Road,",485.0
10748,"গয়ারেখা ইউনিয়ন, ","The Union of the Gaarekha,",486.0
10749,"গর সরণি, ","Gar Sarani,",487.0
10750,"গরদাসপর উপজেলা, ","Gardaspar Upazila,",488.0
10751,"গরিব--নেওয়াজ ভিনিউ, ","Poor-Nawaz Vinee,",489.0
10752,"গরীন রোড, ","Gorin Road,",490.0
10753,"গরেটার রোড, ","Goreter Road,",491.0
10754,"গলশান বাডডা লিংক রোড, ","Golshan Badda Link Road,",492.0
10755,"গলশান ভিনিউ, ","Golshan Vineu,",493.0
10756,"গলশান ২ গোলচককর, ","Golshan 2 rounds,",494.0
10757,"গলশাল সমিতি বযায়াম করার রাসতা, ","Global Association is the way to exercise,",495.0
10758,গলাকাটা বরিজ,Barge,496.0
10759,"গলাচিপা উপজেলা, ","Galachipa Upazila,",497.0
10760,"গাংনী উপজেলা, ","Gangni Upazila,",498.0
10761,গাংনী ট শিয়ালী রপসা রোড,Gangni T Schial Rapsa Road,499.0
10762,"গাইবানধা জেলা, ","Gaibanadha District,",500.0
10763,"গাউসল আজম ভিনিউ, ","Gaul Azam Vineu,",501.0
10764,"গাজীপর জেলা, ","Gazipar District,",502.0
10765,"গানডতা বরিজ, ","Ganadata Borge,",503.0
10766,"গাবখান সেত, ","Gabakhan Set,",504.0
10767,গারলস সকল রোড,All Roads in Garls,505.0
10768,"গারলস সকল রোড, ","All Roads in Garls,",506.0
10769,"গিরজা মহললা, ","Girja Mahalla,",507.0
10770,"গিরদা উরদ রোড, ","Girda Urd Road,",508.0
10771,গেণডারিয়া নতন রাসতা,Gandaria is the new road,509.0
10772,"গৈলা ইউনিয়ন, ","Gaila Union,",510.0
10773,গোগর চৌরাস্তা রাণীশংকৈল।,Gogar Chowrasta Ranishankail.,511.0
10774,"গোপালগঞজ জেলা, ","Gopalganj District,",512.0
10775,"গোপালগঞজ সদর উপজেলা, ","Gopalganj Sadar Upazila,",513.0
10776,"গোপালগঞজ-টঙগিপাড়া সড়ক, ","Gopalganj-Tungipara Road,",514.0
10777,গোপালপর রোড,Gopalpar Road,515.0
10778,"গোবিনদগঞজ-গোড়াঘাট-বিরামপর-ফলবাড়ী-দিনাজপর সড়ক, ","Govindganj-Ghoraghat-Birampur-Fulbari-Dinajpur Road,",516.0
10779,গোমতী বেড়িবাধ সড়ক,Gomati,517.0
10780,"গোয়াইনঘাট উপজেলা, ","Goinaghat Upazila,",518.0
10781,গোরসথান সড়ক,Gorstone road,519.0
10782,"গোরাচাদ দাস সড়ক, ","Gorachad Das Road,",520.0
10783,"গোলচককর, ",Round,521.0
10784,"গোলপাতা রসনা বিলাস বারবিকিউ এবং কফি শপ, ","Golpata Rasna Bilas Barbecue and Coffee Shop,",522.0
10785,"গোলাম মোসতফা লেন, ","Ghulam Mustafa Lane,",523.0
10786,"গৌতম ইলেক্ট্রনিক্স সাবাই বাজার, ","Gautam Electronics Sabai Bazar,",524.0
10787,"গৌরনদী উপজেলা, ","Gouranadi Upazila,",525.0
10788,"গ্রামীণ চাইনিজ রেস্টুরেন্ট & পার্টি সেন্টার, ","Grameen Chinese Restaurant & Party Center,",526.0
10789,"গ্রামীণ ব্যাংক কমলদহ শাখা, ","Grameen Bank Kamaldah Branch,",527.0
10790,"গ্রামীণ ব্যাংক কামালদহ শাখা, ","Grameen Bank Kamaldah Branch,",528.0
10791,"গ্রামীণ ব্যাংক চরনিলখিয়া ময়মনসিংহ শাখা, ","Grameen Bank Charnilkhia Mymensingh Branch,",529.0
10792,"গ্রামীণ ব্যাংক তারকান্দা শাখা, ","Grameen Bank Tarakanda Branch,",530.0
10793,"গ্রামীণ ব্যাংক নসরতপুর শাখা, ","Grameen Bank Nasratpur Branch,",531.0
10794,"গ্রামীণ ব্যাংক বাংলাবাজার শাখা, ","Grameen Bank Bangla Bazar Branch,",532.0
10795,"গ্রামীণ ব্যাংক মোকামতলা শাখা, ","Branch of the Grameen Bank,",533.0
10796,"গয়াবাড়ী ইউনিয়ন, ","The Union of the Gawabari,",534.0
10797,"ঘিওর উপজেলা, ","Ghio Upazila,",535.0
10798,"ঘোড়াশাল - পাঁচদোনা সড়ক, ","Ghorshal - Panchdona Road,",536.0
10799,"ঘোড়াশাল - পাচদোনা সড়ক, ","Ghorshal - Pachdona Road,",537.0
10800,চকনগর রোড,Chaknagar Road,538.0
10801,"চকযাদ সড়ক, ","Chakzad road,",539.0
10802,চকাইনগর-কঠিবয়রা বাজার রাসতা,Chakinagar,540.0
10803,"চটটগরাম - ককসবাজার মহাসড়ক, ","Chattagram - Cocksbazar Highway,",541.0
10804,"চটটগরাম - ককসবাজার মহাসড়ক, ","Chattagram - Cocksbazar Highway,",542.0
10805,"চটটগরাম - খাগড়াছড়ি মহাসড়ক, ","Chattagram - Khagrachari highway,",543.0
10806,"চটটগরাম - খাগড়াছড়ি মহাসড়ক, ","Chattagram - Khagrachari highway,",544.0
10807,"চটটগরাম উপকূলীয় সড়ক, ","Chattagram coastal road,",545.0
10808,"চটটগরাম জেলা, ","Chittagong District,",546.0
10809,"চটটগরাম বিভাগ, ","Chattagram Department,",547.0
10810,"চটটগরাম শহর বহিঃসত চকরপথ, ","Chattagram city exterior chakarapath,",548.0
10811,"চটটগরাম-ককসবাজার মহাসড়ক, ","Chattagram-Koksbazar highway,",549.0
10812,"চটটগরাম-ককসবাজার মহাসড়ক, ","Chattagram-Koksbazar highway,",550.0
10813,"চটটগরাম-কাপতাই মহাসড়ক, ","Chattagram-Captai highway,",551.0
10814,"চটটগরাম-কাপতাই সড়ক, ","Chattagram-Captai Road,",552.0
10815,"চটটগরাম-রাঙগনিয়া মহাসড়ক, ","Chattagram-Rangnia highway,",553.0
10816,"চট্টগ্রাম - কক্সবাজার মহাসড়ক, ","Chittagong - Cox's Bazar Highway,",554.0
10817,"চট্টগ্রাম - কক্সবাজার মহাসড়ক, ","Chittagong - Cox's Bazar Highway,",555.0
10818,"চট্টগ্রাম - খাগড়াছড়ি মহাসড়ক, ","Chittagong - Khagrachari Highway,",556.0
10819,"চট্টগ্রাম - খাগড়াছড়ি মহাসড়ক, ","Chittagong - Khagrachari Highway,",557.0
10820,চনখোলা ট গাংনী শিয়ালী রপসা রোড,Chankhola T Gangni Shial Rapsa Road,558.0
10821,"চনদন - বাইশা সড়ক, ","Chandanbisha road,",559.0
10822,"চনদরিমা উদযান জিয়া উদযান সড়ক, ","Chandrima Gardens Zia Gardens Road,",560.0
10823,"চনদরের বাড়ি সড়ক, ","Lunar's house road,",561.0
10824,চনদিবের সড়ক,Chandib,562.0
10825,"চনারঘাট উপজেলা, ","Channaghat Upazila,",563.0
10826,"চন্দন - বাইশা সড়ক, ","Chandanbisha road,",564.0
10827,"চন্দ্রিমা উদ্যান জিয়া উদ্যান সড়ক, ","Chandrima Gardens Zia Gardens Road,",565.0
10828,"চমপাতলী লেন, ","Lane lane,",566.0
10829,"চয়াডাঙগা-কষটিয়া মহাসড়ক, ","Chiadanga-Kashia highway,",567.0
10830,"চরখালি-তষখালি-মঠবাড়িয়া সড়ক, ","Charkhali-Taskhali-Mathabaria Road,",568.0
10831,"চরফযাশন উপজেলা, ","Charfayashan Upazila,",569.0
10832,"চরফযাশন বেতয়া সড়ক, ","Charfashion Betua Road,",570.0
10833,"চরফযাশন সদর রোড, ","Charfazashan Sadar Road,",571.0
10834,চাইনদা চরপাড়া সড়ক,Charpara road,572.0
10835,চাইনদা ফরেসট অফিস সড়ক,China Forest Office Road,573.0
10836,চাকতাই সড়ক সেত,Road,574.0
10837,চাকতাই সড়ক,Road,575.0
10838,"চাটমোহর - তেবনিয়া রোড, ","Chatmohar - Tabnia Road,",576.0
10839,"চাটমোহর - তেবুনিয়া রোড, ","Chatmohar - Tebunia Road,",577.0
10840,"চাড়ালজানী - বরাহমণবাড়ি সড়ক, ","Charalajani - Barahmanbari Road,",578.0
10841,"চাড়ালজানী - ব্রাহ্মণবাড়ি সড়ক, ","Charalajani - Brahmanbaria Road,",579.0
10842,"চাদ মসজিদ সড়ক, ","Chad Mosque Road,",580.0
10843,"চাদপর জেলা, ","Chadpar District,",581.0
10844,"চাদপর সদর উপজেলা, ","Chadpar Sadar Upazila,",582.0
10845,"চাদপর সড়ক, ","Chandpur Road,",583.0
10846,"চানদিনা উপজেলা, ","Channa Upazila,",584.0
10847,"চাপাইনবাবগঞজ জেলা, ","Chapainawabganj district,",585.0
10848,চাপাইল বরীজ,Pressing,586.0
10849,চাপারহাট ট তষভানডার রোড,Taparhat Toshwanda Road,587.0
10850,"চারঘাট উপজেলা, ","Charghat Upazila,",588.0
10851,"চাষা - ভুষার টং, ","Farmer - bhusar tong,",589.0
10852,"চাষাড়া গোল চককর, ","Cultivated round chakkar,",590.0
10853,"চায়নামোড় জামে মসজিদ মোমেনশাহী, ","Chinamor Jame Mosque Momenshahi,",591.0
10854,"চিরাপাড়া বরিজ, ","Everlapara Borge,",592.0
10855,"চিরাপাড়া ইউনিয়ন, ","The Union of Chirpara,",593.0
10856,"চীফ জুডিসিয়াল ম্যাজিস্টেট কোর্ট টাঙ্গাইল।, ","Chief Judicial Magistrate Court Tangail.,",594.0
10857,"চুয়াডাঙ্গা - দর্শনা সড়ক, ","Chuadanga - Darshan Road,",595.0
10858,"চেয়ারমযান গলি, ","Chairman's lane,",596.0
10859,"চেয়ারমযান গলি আলীনগর ২ নং গলি, ","Chairman alley alinagar No. 2 lane,",597.0
10860,"চেয়ারমযান গলি, ","Chairman's lane,",598.0
10861,"চেয়ারমযান বাড়ির গলি, ","Chairman's house lane,",599.0
10862,"চেয়ারমযান বাড়ির মোচড়ের গলি, ","Chairman's house twist lane,",600.0
10863,"চেয়ারমযান বাড়ির সড়ক, ","Chairman's house road,",601.0
10864,চেয়ারমযান বাড়ী সড়ক,Chairman,602.0
10865,"চেয়ারম্যান গলি আলীনগর ২ নং গলি, ","Chairman Goli Alinagar No. 2 lane,",603.0
10866,"চৌগাছা উপজেলা, ","Chougachha Upazila,",604.0
10867,"চয়াডাঙগা - দরশনা সড়ক, ","Chuadanga - Darshan Road,",605.0
10868,"চয়াডাঙগা কলেজ রোড, ","Chiadanga College Road,",606.0
10869,"চয়াডাঙগা জেলা, ","Chiadanga district,",607.0
10870,"চয়াডাঙগা-আলমডাঙগা সড়ক, ","Chuadanga-Alamdanga Road,",608.0
10871,"চয়াডাঙগা-কষটিয়া সড়ক, ","Chuadanga-Kushtia Road,",609.0
10872,ছাগইলযা পাড়া রিয়াধীন রোড মেইন রোড সংলগন,Cougilaza Para Riyan Road Maine Road,610.0
10873,ছাতরী হল রোড,Chatter hall road,611.0
10874,"ছাত্রী নিবাস সিরাজগঞ্জ সরকারি কলেজ, ","Student Residence Sirajganj Government College,",612.0
10875,"ছিলিমপুর উত্তর পাড়া জামে মসজিদ বগুড়া।, ",Jama Masjid Bogra in North Para Para.,613.0
10876,"জকিগঞজ সড়ক, ","Jakiganj Road,",614.0
10877,"জগতি সটেশন সড়ক, ","Jagati Station Road,",615.0
10878,"জগননাথপর সেত, ","Jagannathpar Set,",616.0
10879,"জগননাথপর সড়ক, ","Jagannathpur Road,",617.0
10880,"জড়ি-লাঠিটিলা রোড, ","Jari-Latitila Road,",618.0
10881,"জতার ফযাকটরি গলি, ","Jew's Fazaktari alley,",619.0
10882,"জনডিস বাড়ির গলি, ","Johnadis home lane,",620.0
10883,"জনতা ব্যাংক কাজীরবাজার শাখা, ","Janata Bank Kazir Bazar Branch,",621.0
10884,"জনতা ব্যাংক কুয়েট শাখা, ","Janata Bank Kuwait Branch,",622.0
10885,"জনতা ব্যাংক চাঁচড়া মোড়, ","Janata Bank Chachara twist,",623.0
10886,"জনতা ব্যাংক ঢাকা কলেজ শাখা, ","Janata Bank Dhaka College Branch,",624.0
10887,"জনতা ব্যাংক লিমিটেড হাটহাজারী, ","Janata Bank Limited Hathazari,",625.0
10888,জনবনধ শহীদ লোকমান হোসেন সড়ক,John Bandhu Shaheed Lokman Hossain Road,626.0
10889,"জনাব মোতাহার হোসেনের বাসভবন, ","Residence of Mr. Motahar Hossain,",627.0
10890,"জবাবা সকল গলি, ","Responded to all the alley,",628.0
10891,জবায়ের সরণী,Sale,629.0
10892,"জমির খান সড়ক, ","Land Khan Road,",630.0
10893,"জয়পরহাট জেলা, ","Joyparhat District,",631.0
10894,"জয়পাড়া - নিকরা রোড, ","Joypara - Nicra Road,",632.0
10895,"জলঢাকা উপজেলা, ","Jalika Upazila,",633.0
10896,"জলাবাড়ী ইউনিয়ন, ","Jalabari Union,",634.0
10897,"জসিম উদদিন মেমবার সড়ক, ","Jasim Uddin Member Road,",635.0
10898,"জসিমউদদিন বাউনিয়া সড়ক, ","Jasim Uddin Bunia Road,",636.0
10899,"জসিমউদদিন সড়ক, ","Jasim Uddin Road,",637.0
10900,"জসীমউদদিন হল সড়ক, ","Jasimuddin Hall Road,",638.0
10901,জ়াবদীপর রোড,Jabadipar road,639.0
10902,জ়াবদীপর রোড গলি,Jabadipar Road street,640.0
10903,"জাজিরা উপজেলা, ","Jajira Upazila,",641.0
10904,"জাজিরা-শরীয়তপর সড়ক, ","Jajira-Shariat Road,",642.0
10905,"জাতিসংঘ গোলচককর, ","The United Nations is a goalkeeper,",643.0
10906,"জাননাতবাগ গলি, ","Jannatbag alley,",644.0
10907,"জাননাতবাগ সড়ক, ","Paradise Road,",645.0
10908,"জামালপর জেলা, ","Jamalpar District,",646.0
10909,"জামালপর- সরিষাবাড়ী সড়ক, ","Jamalpur-Sarisabari Road,",647.0
10910,"জামালপুর রেলওয়ে স্টেশন জং, ","Jamalpur Railway Station Jung,",648.0
10911,জামিয়াতল করআন মাদরাসা রোড আমানবাজার,Jamiatal Karan Madrasa Road Amanbazar,649.0
10912,জামিয়াতুল কুরআন মাদ্রাসা রোড আমানবাজার,Jamiatul Quran Madrasa Road Aman Bazar,650.0
10913,"জামে মসজিদ শাহবাজপুর, ","Jame Mosque Shahbazpur,",651.0
10914,"জালালউদদিন সরণি, ","Jalaluddin Sarani,",652.0
10915,"জি ম সড়ক, ","G. Mo road,",653.0
10916,"জি ল রায় সড়ক, ","GL Roy Road,",654.0
10917,"জিঞজিরা - রামেরকানদা সড়ক, ","Ginjira - Ramkanda Road,",655.0
10918,"জিঞজিরা বেড়িবাধ সড়ক, ","Ginjira barricade roads,",656.0
10919,"জিঞ্জিরা - রামেরকান্দা সড়ক, ","Ginjira - Ramkanda Road,",657.0
10920,"জিননা মিয়ার গলি, ","Jinna Mia's lane,",658.0
10921,জিবি কলোনি কাচাবাজার সড়ক,GB Colony,659.0
10922,"জিরানি - কাশিমপর সড়ক, ","Zirani - Kashimpur Road,",660.0
10923,"জিরানি - কাশিমপুর সড়ক, ","Zirani - Kashimpur Road,",661.0
10924,"জিরো পয়েনট, ","Zero Pient,",662.0
10925,"জীন হজরের গলি, ","Jean Hazar's lane,",663.0
10926,"জীবননগর উপজেলা, ","Jivanagar Upazila,",664.0
10927,"জে.ন সাহা সড়ক, ","JN Saha Road,",665.0
10928,"জেল রোড জামে মসজিদ যশোর।, ","Jail Road Jame Mosque Jessore.,",666.0
10929,"জেলা কর্মসংস্থান ও জনশক্তি অফিস চট্টগ্রাম, ","District Employment and Manpower Office Chittagong,",667.0
10930,"জেলা জজ আদালত নীলফামারী, ","District Judge Court Nilphamari,",668.0
10931,"জেলা পরিষদ টাঙ্গাইল।, ","Zilla Parishad Tangail.,",669.0
10932,"জেলা পরিষদ নীলফামারী, ","Zilla Parishad Nilphamari,",670.0
10933,"জেলা পরিষদ ময়মনসিংহ, ","Zilla Parishad Mymensingh,",671.0
10934,"জেলেবাড়ির পল, ","Paul of fishermen,",672.0
10935,"জৈনতাপর উপজেলা, ","Jainatapar Upazila,",673.0
10936,"জোড়া খামবা রোড, ","In the twin khamba road,",674.0
10937,"জয় বাংলা বাজার, ","Joy Bangla Bazar,",675.0
10938,"জয়পাড়া বাজার বরিজ, ","Jaipara Bazar Borge,",676.0
10939,ঝাড়বাড়ি দক্ষিন প্রান্ত,South edge,677.0
10940,"টংগিবাড়ী - সোনারং - বেতকা সড়ক, ","Tongibari - Sonarong - Betka Road,",678.0
10941,"টঙগী বাইপাস, ","Tongi bypass,",679.0
10942,"টনির হাট - ডিমলা সড়ক, ","Tony Hut - Dimla Road,",680.0
10943,"টনির হাট - পাগলপাড়া সড়ক, ","Tony Hat - Crazy Para Road,",681.0
10944,"টনিরহাট - কলোনি বাজার সড়ক, ","Tyronhat - Colony Market Road,",682.0
10945,"টরাঙক রোড, ","Torangok Road,",683.0
10946,"টাঙগাইল জেলা, ","Tangail District,",684.0
10947,"টাঙগাইল-ভয়াপর মহাসড়ক, ","Tangail-Vaipapa Highway,",685.0
10948,"টাঙগাইল-ময়মনসিংহ মহাসড়ক, ","Tangail-Mymensingh highway,",686.0
10949,টি বি হাসপাতাল রোড,TB Hospital Road,687.0
10950,"টিট মিয়ার গলি, ","Tit Mia's lane,",688.0
10951,"টিপ সলতান সড়ক, ","Tip Sultan Road,",689.0
10952,"টিসপি কলোনী সড়ক, ","TSP Colony Road,",690.0
10953,"টিসসি মোড়, ","TSC twist,",691.0
10954,"টুনির হাট - ডিমলা সড়ক, ","Tony Hut - Dimla Road,",692.0
10955,"টুনির হাট - পাগলপাড়া সড়ক, ","Tony's Hut - Pagnapara Road,",693.0
10956,"টুনিরহাট - কলোনি বাজার সড়ক, ","Tonirhat - Colony Market Road,",694.0
10957,"টেকেরহাটি পরধান সড়ক, ","Takerhat main road,",695.0
10958,"টেপাখড়িবাড়ী ইউনিয়ন, ","Tapakharibari Union,",696.0
10959,"টোনা ইউনিয়ন, ","Tona Union,",697.0
10960,"ঠাকরগঞজ - কলোনি সড়ক, ","Thakurganj - Colony Road,",698.0
10961,"ঠাকরগঞজ - ডাঙগার হাট সড়ক, ","Thakurganj - Dangarhat Road,",699.0
10962,"ঠাকরগাও জেলা, ","Thakargaon District,",700.0
10963,"ঠাকুরগঞ্জ - কলোনি সড়ক, ","Thakurganj - Colony Road,",701.0
10964,"ঠাকুরগঞ্জ - ডাঙ্গার হাট সড়ক, ","Thakurganj - Dangar Hat Road,",702.0
10965,"ডমরিয়া উপজেলা, ","Dumriya Upazila,",703.0
10966,"ডরি আঙগল লেন, ","Dory finger lane,",704.0
10967,"ডাক বাংলা বিবিরহাট ফটিকছড়ি, ","Duck Bangla Bibirhat Fatikchari,",705.0
10968,"ডাকঘর সৈয়দপুর বাজার 3203, ","Post Office Saidpur Bazar 3203,",706.0
10969,"ডাঙগার হাট - গহরপর সড়ক, ","Dangger Hat - Gharpar Road,",707.0
10970,"ডাঙগার হাট - ডিমলা সড়ক, ","Dangger Hut - Dimla Road,",708.0
10971,"ডাঙ্গার হাট - গহরপুর সড়ক, ","Dangar Hat - Gharpur Road,",709.0
10972,"ডাঙ্গার হাট - ডিমলা সড়ক, ","Dangar Hat - Dimla Road,",710.0
10973,"ডাচ বাংলা এজেন্ট ব্যাংক আলিফ, ","Dutch Bangla Agent Bank Alif,",711.0
10974,"ডাচ-বাংলা এটিএম - বুথ, ","Dutch -Bangla ATM - booth,",712.0
